name,address,rankingPosition,rawRanking,priceLevel,numberOfReviews,priceRange,description,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7
Little Long Beach,"1-4-22 Motomachi, Naniwa-ku 1F Roajiru Namba, Osaka 556-0016 Osaka Prefecture",187,3.4672532081604004,$$ - $$$,32,,American owned bar in the heart of Osaka's Namba area. We have full service in Japanese and English. Our customers are mostly locals with strong interest in foreign travelers. We love to introduce our local customers to foreigners and we offer advice for interesting restaurants and locations in Osaka. Come enjoy the friendliest bar in Namba,Bar,Pub,,,,,,
Tempura Makino,"1-1-3 Shibata, Kita-Ku Hankyu Sambangai 2F, Osaka 530-0012 Osaka Prefecture",197,3.456938505172729,$$ - $$$,63,,,Japanese,,,,,,,
"Hanakujira, Ayumi","2-7-4 Fukushima, Fukushima-ku, Osaka 553-0003 Osaka Prefecture",185,3.4686737060546875,$$ - $$$,78,,,Japanese,,,,,,,
Cafe Charbon,"1-6-23 Kitahorie, Nishi-Ku, Osaka 550-0014 Osaka Prefecture",186,3.468456506729126,$$ - $$$,43,,,Italian,,,,,,,
Restaurants & Wine Kalkos,"1-7-10, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",21,3.4882752895355225,$$ - $$$,29,"$1,000 - $10,000","""Wine Bar Calcos"" is located in Hozenji Yokocho, Namba Sen-Nichimae. Choose from over 300 varieties of wines at all times and indulge in a delightful marriage of exquisite wines and authentic cuisine that truly complements them. Under the passionate vision of the owner and sommelier, who believes in providing our customers with the best wines for authentic cuisine, our staff is dedicated to welcoming you with the highest level of hospitality.",Italian,French,Wine Bar,Bar,Vegetarian Friendly,Vegan Options,Halal,Gluten Free Options
creperie  Alcyon,"1-4-18, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",15,3.470639228820801,$$ - $$$,61,"$800 - $1,000",,,,,,,,,
Din Tai Fung Nanba Dining Maison,"5-1-18 Namba Dining Maison 7F, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",14,3.472944974899292,$$ - $$$,130,,,Chinese,Asian,Taiwanese,,,,,
Hozenji Sampei,"1-7-10 Bio Street Yokocho Bldg. 1F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",20,3.492313861846924,$$ - $$$,83,,,Japanese,,,,,,,
0℃ Jukusei Steak Honten,"1-8-18 1F Soshoku Bldg., Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",4,3.473052263259888,$$ - $$$,30,"$1,000 - $3,000",It's a steak shop.,Steakhouse,Barbecue,Grill,,,,,
"Ikinari Steak, Hozenji","1-5-23 1F Hozenji Town Bldg., Namba, Chuo, Osaka 542-0076 Osaka Prefecture",16,3.4545717239379883,$$ - $$$,79,,,Steakhouse,,,,,,,
Hajime,"1-9-11 Edobori, Nishi-Ku 1f, Osaka 550-0002 Osaka Prefecture",176,3.479260206222534,$$$$,96,"$49,000 - $60,000",,Japanese,International,Contemporary,Healthy,Vegetarian Friendly,,,
Ippotei,"Nanbanaka, Naniwaku, Osaka 556-0011 Osaka Prefecture",177,3.477816343307495,$$ - $$$,71,"$1,000 - $3,000",,Chinese,,,,,,,
Negiyaki Yamamoto Umeda Est-ten,"3-25 Kakudacho, Kita-Ku Est E 24, Osaka 530-0017 Osaka Prefecture",154,3.5142533779144287,$$ - $$$,122,,,Japanese,Asian,,,,,,
Yakiniku Nikuhachi Dotombori Honten,"1-1-4 B1F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",23,3.484654664993286,$$ - $$$,24,"$3,000 - $8,000","・Nikuhachi Dotonbori honten Location B1F, Shou POINT Bld.1-1-4, Dotombori, Osaka Shi Chuo Ku, Osaka Fu, 542-0071, Japan We are open 24 hour. Available English,Chinese,vietnamese We only serve Wagyu beef Other Wagyu brand. DiDi Food Award 2020 Top 100 Restaurants Of The Year No,1 If you want to eat Wagyu in Japan, please come to Nikuhachi！！",Steakhouse,Barbecue,Sushi,Asian,Korean,Grill,,
Chitose,"8-1 Nambasennichimae, Chuo, Osaka 542-0075 Osaka Prefecture",94,3.474204540252685,$$ - $$$,93,"$800 - $1,000",,Japanese,,,,,,,
Bubba Gump Shrimp Co. Osaka,"6-2-61 Shimaya, Konohanaku Universal City Walk Osaka 5F, Osaka 554-0024 Osaka Prefecture",144,3.53053879737854,$$ - $$$,162,,,Seafood,,,,,,,
Bulgari Il Cafe,"8-7 Kakudacho, Kita-Ku Hankyu Umeda 5F, Osaka 530-0017 Osaka Prefecture",174,3.481485605239868,$$$$,76,,,Italian,Cafe,,,,,,
Ganso Kushikatsu Daruma Hozenji,"1-1-4, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",17,3.4482924938201904,$$ - $$$,99,"$1,000 - $3,000",,Japanese,,,,,,,
"Osaka Ohsho, Dotombori Honten","1-6-13, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",26,3.4533607959747314,$,149,,,Japanese,Fast Food,Asian,,,,,
The Cosmopolitan,"4-20 Ofukacho Kita-ku 9F South Tower, Grand Front Osaka, Osaka 530-0011 Osaka Prefecture",169,3.4899282455444336,$$ - $$$,58,,,Steakhouse,European,,,,,,
Creperie Stand Chandeleur Tennoji,"5-55 Chausuyamacho, Tennoji-Ku, Osaka 543-0063 Osaka Prefecture",204,3.4501118659973145,$$ - $$$,57,"$890 - $2,500","Inside ""Tenshiba"" (Tennouji Park) in front of Tennoji Station,The restaurant serving crape dishes using ECHIRE butter and French cuisine.Enjoy a girls' party or a drinking party in a space with the atmosphere of Paris ★All-you-can-drink plan from 3,500 yen (excluding tax).Subway Tanimachi Line Tennoji Station 2-minute walk, JR Tennoji Station 3-minute walk.Open everyday.VISA, MasterCard, JCB.",Japanese,Bar,Grill,Pub,Italian,Dining bars,,
Tengu,"Ebisuhigashi, Naniwaku, Osaka 556-0002 Osaka Prefecture",232,3.422892808914185,$$ - $$$,74,"$1,000 - $3,000",,Japanese,,,,,,,
Jojoen Yugentei The New Otani Osaka,"1-4-1 Shiromi 3F Hotel New Otani Osaka, Chuo, Osaka 540-0001 Osaka Prefecture",116,3.42298436164856,$$$$,49,,,Barbecue,Asian,Korean,,,,,
Genpiku Fugu Osaka Kuromon no Seki,"1-21-4 Kuromon Market, Nippombashi, Chuo, Osaka 542-0073 Osaka Prefecture",4,3.429107904434204,$$ - $$$,54,"$4,000 - $10,000",,Japanese,Seafood,Pub,,,,,
Kokaryu Universal City Walk TM Osaka,"6-2-61 Shimaya, Konohana-ku, Osaka Osaka Prefecture",228,3.426847219467163,$$ - $$$,66,,,Japanese,,,,,,,
Wagyu Yakiniku Nikuhachi Temma,"2-1-27 Tenma, Kita-ku Momoi Dai-2 Bldg. 1F, Osaka 530-0043 Osaka Prefecture",218,3.4344773292541504,$$ - $$$,16,"$2,000 - $8,000",,Steakhouse,Barbecue,Asian,Korean,,,,
Kushikatsu Daruma Namba Honten,"1-5-24, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",19,3.427574157714844,$$ - $$$,90,"$1,000 - $2,999",,Japanese,,,,,,,
Nakatanitei,"Uehonmachi, Tennojiku, Osaka 543-0001 Osaka Prefecture",230,3.4231088161468506,$$ - $$$,50,"$800 - $1,000",,Cafe,,,,,,,
Xiang Tao,"2-5-25 Umeda, Kita-ku 5F The Ritz Carlton, Osaka, Osaka 530-0001 Osaka Prefecture",229,3.4247679710388184,$$$$,93,"$5,900 - $37,000",Xiang Tao features the finest Cantonese cuisine as well as other regional Chinese specialties in an inviting and lush atmosphere that's sure to please the senses. -Authentic Hong Kong style dim sum -Carefully selected Chinese teas and wine recommendations from the Sommelier -All seats are non-smoking.,Chinese,Asian,,,,,,
Tempura Daikichi Namba Komejirushi,"2-10-25 Nambanaka, Naniwa-Ku Namba CITY NambaKomejirushi, Osaka 556-0011 Osaka Prefecture",217,3.435612201690674,$$ - $$$,60,"$1,000 - $3,000",,Japanese,,,,,,,
La Fete Hiramatsu,"2-3-18 Nakanojima, Kita-ku Nakanoshima Festival Tower 37F, Osaka 530-0005 Osaka Prefecture",224,3.42938232421875,$$$$,73,"$4,000 - $25,000",,French,,,,,,,
Sumi Yaki Mizu Shichirin Yakiniku Sho Tajima,"3-2-8 Azuchimachi Honmachi ABC Bldg. 2F, Chuo, Osaka 541-0052 Osaka Prefecture",114,3.42799973487854,$$ - $$$,65,"$3,000 - $3,500","Offering all-you-can-eat 『A4 and A5 Miyazaki Beef』, grilled on charcoal water hibachi! A grilled meat restaurant for adults who prefer better atmospheres and convincing meat quality Open year-round, with VIP rooms available.",Barbecue,Grill,Japanese,Steakhouse,,,,
Osaka Salon,"1 Chome-9-33 Itachibori 2nd Floor, Osaka 550-0012 Osaka Prefecture",203,3.451200485229492,$,17,,,Bar,French,,,,,,
Le Marrakech,"1-17-7 Oyodonaka, Kita-ku, Osaka 531-0076 Osaka Prefecture",238,3.420933485031128,$$ - $$$,22,"$1,000 - $6,000","Do you want to experience real Moroccan food in Osaka? Friendly Moroccan chef will welcome you. We have great atmosphere and tasty food and drinks. We have English, French, Arabic, Berber, and of course Japanese speaking staff. Sunday, 2nd and 4th Monday is closed.",African,Moroccan,Mediterranean,Grill,Healthy,Middle Eastern,Soups,Vegetarian Friendly
Gyukatsu Kyoto Katsugyu Namba Ebisubashi,"3-3-7, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",18,3.4361143112182617,$$$$,35,"$1,000 - $2,500","Fried Japanese beef cutlets ""GYUKATSU"", medium rare on the inside yet crispy and crunchy on the outside. Enjoy with wasabi soy souce, sansho spice and salt, Worcestershire sauce curry broth and more. The original location in Ponto-cho is a 100-year-old machiya(traditional tradesman's house.)",Japanese,,,,,,,
Okonomiyaki Yukari,"2-11-12, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",7,3.4398159980773926,$$ - $$$,116,"$1,000 - $3,000",,Asian,Japanese,,,,,,
Wadaya Osaka Ohatsu Tenjin,"2-8-9 Sonezaki Kita-Ku Hachiko Bldg. 1F, Osaka 530-0057 Osaka Prefecture",240,3.418894529342652,$$ - $$$,55,"$3,000 - $8,000",,Japanese,Pub,Healthy,Kappo,,,,
Daruma Shinsaibashi,"1-5-17 Shinsaibashisuji, Chuo, Osaka 542-0085 Osaka Prefecture",119,3.421669244766236,$$ - $$$,117,,,Japanese,Asian,,,,,,
Meijiken,"1-5-32 Shinsaibashisuji, Chuo, Osaka 542-0085 Osaka Prefecture",108,3.4475879669189453,$$ - $$$,79,,"Soak up our cozy atmosphere with our tantalizing, light and fluffy omelette rice.",International,,,,,,,
Suntory Whiskey House,"3-1 Ofukacho, Kita-ku 2F Umekita Grand Front Osaka Knowledge Capital, Osaka 530-0011 Osaka Prefecture",209,3.444559097290039,$$ - $$$,44,,,,,,,,,,
Kanidoraku Dotombori Nakamise,"1-6-2, Dotombori, Chuo, Osaka Osaka Prefecture",27,3.4374547004699707,$$ - $$$,118,,,Japanese,Seafood,,,,,,
Tsuruhashi Okonomiyaki Omoni,"4-20 Ofukacho Kita-Ku Grand Front Osaka South Wing 7F, Osaka 530-0011 Osaka Prefecture",207,3.447666645050049,$$ - $$$,75,,,Japanese,,,,,,,
551 Horai Umeda Daimaru Eat In Counter,"3-1-1 Umeda Umeda Daimaru B1, Osaka 530-0001 Osaka Prefecture",215,3.4366016387939453,$,63,,,Chinese,Fast Food,Asian,,,,,
Sumibi Yakiniku Tsurugyu,"3-5-14 Kawarayamachi, Chuo, Osaka 542-0066 Osaka Prefecture",117,3.4224820137023926,$$$$,92,,"Try our tender [Kuri steak] made with the proud, flavorful Tajima beef, while dining in a relaxing atmosphere",Korean,Japanese,Barbecue,Asian,,,,
Kiyasu Sohompo,"1-4-2 Jusohonmachi, Yodogawa-ku, Osaka 532-0024 Osaka Prefecture",234,3.422203063964844,,49,,,Japanese sweets parlour,,,,,,,
Khazana,"4-6-30 Nishinakajima Yodogawa-Ku Chisun Mansion 5th Shin-Osaka, Osaka 532-0011 Osaka Prefecture",237,3.421285390853882,$$ - $$$,30,,,Indian,Vegetarian Friendly,Vegan Options,,,,,
Naniwano Okonomiyaki Jiro,"2-32-14 Higashimikuni, Yodogawa-ku 1F, Osaka 532-0002 Osaka Prefecture",212,3.437944173812866,$$ - $$$,23,"$800 - $1,500",We are open until midnight! You can make your Okonomiyaki by yourself.Foreign language menus are also available and have been enjoyed by many foreigners in the past.[Access]Midosuji Line Higashi-Mikuni Station Exit 1 3-minute walk[Close]Irregular holidays,Japanese,,,,,,,
"Marufuku Coffee Shop, Sennichimae Honten","1-9-1, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",5,3.457016468048096,$$ - $$$,110,"$800 - $1,000",,Cafe,,,,,,,
Negiyaki Yamamoto Honten,"1-8-4 Jyosohommachi, Yodogawa-Ku, Osaka 532-0024 Osaka Prefecture",127,3.5628881454467773,$$ - $$$,104,,,Japanese,,,,,,,
Nishiya,"5-19-5 Karita, Sumiyoshi-Ku Sofia Abiko 1F, Osaka 558-0011 Osaka Prefecture",156,3.5112521648406982,$$ - $$$,35,,"Welcome to Nishiya! We are a popular monjayaki (waatery version of okonomiyaki) and wine shop located in Sumiyoshi-ku, We offer a lot of special dishes from Osaka's famous okonomiyaki to steak cooked on an iron plate. Come ty our dessert monjayaki! Also we serve many kinds of drinks. ① We have an ordering system, one dish per person ② We will give you a special gift when presenting screen shot of your review about us!",Japanese,,,,,,,
human beings everybody noodles,"1-12-15 Nishinakajima, Yodogawa-ku, Osaka 532-0011 Osaka Prefecture",193,3.4604077339172363,$$ - $$$,103,,,Asian,Japanese,,,,,,
The City Bakery Brasserie Rubin,"4-20 Ofukacho, Kita-Ku Grand Front Osaka South Bldg. 7F, Osaka 530-0011 Osaka Prefecture",220,3.431094169616699,$$ - $$$,69,,,Italian,Fusion,,,,,,
Moto Coffee,"2-1-1 Uchikitahama Kitahama Lion Bldg., Chuo, Osaka 541-0041 Osaka Prefecture",112,3.4301953315734863,$$ - $$$,45,,,Cafe,,,,,,,
Wolfgang's Steakhouse by Wolfgang Zwiener Osaka,"3-1-3 Umeda, Kita-Ku Lucua 1100 10F, Osaka 530-0001 Osaka Prefecture",221,3.43083930015564,$$$$,130,"$1,200 - $16,000",,American,,,,,,,
Rock Bar Cherry Bomb,"2-4-8 Higashishinsaibashi Junon Hachiman Bldg 5F, Chuo, Osaka 542-0083 Osaka Prefecture",98,3.465855360031128,$,44,$6 - $30,"We're an American-owned and -run rock bar in Shinsaibashi. And, yes, we play the guitars on the wall. Come meet our friendly staff and check out Taco Tuesdays for 200 yen tacos and 200 yen tequila shots! Drinks start at 500 yen and there is no door or seating charge.",Pub,,,,,,,
"Kanton Cuisine Minsei, Hilton Plaza West","2-2-2 Umeda, Kita-ku Hilton Plaza West B2, Osaka 530-0001 Osaka Prefecture",219,3.4326422214508057,$$ - $$$,53,,,Chinese,,,,,,,
Isaribi,"1-5-12 Shibata, Kita-Ku, Osaka 530-0012 Osaka Prefecture",182,3.4729878902435303,$$ - $$$,61,,,Japanese,Barbecue,Seafood,Grill,Japanese Fusion,,,
Shuhari,"1-3-20 Tokiwamachi, Chuo, Osaka 540-0028 Osaka Prefecture",126,3.4023571014404297,$$ - $$$,53,"$800 - $1,000",,Japanese,,,,,,,
Shirayuki Brewery Restaurant Chojukura,"3-4-15 Chuo, Itami 664-0851 Hyogo Prefecture",1,3.400675773620605,$$ - $$$,72,"$2,000 - $4,500","5 minutes walk from Itami station! A beer restaurant with a sake brewery that has been built over 240 years ago. Large private room available / Up to 80 people are able to rent out the 2nd floor. 5-minutes from Itami Station! A beer restaurant renovated from a sake brewery built over 240 years ago. Proudly serving ""KONISHI beer""; a craft beer made by the brewery adjacent to the restaurant! Various dishes are available such as succulent meat and snacks to accompany alcoholic drinks. Plan including all-you-can-drink (including craft beer!) from only 4,500 JPY (incl. tax)! ☆A casual cafe menu commenced from May 20th.☆ ◆Buffet party plan available on the 2F (Charter only) Up to 30 to 60 people (up to 80 if standing) OK! Projectors, etc. available free of charge. ◆Extensive menu Both the traditional Japanese kaiseki cuisine courses and the Western cuisine full courses are ideal for business entertainment/business meals.",Japanese,Brew Pub,Bar,Dining bars,Beer restaurants,,,
Tempura Tarojiro,"1-8-20, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",6,3.44778060913086,$$ - $$$,36,,,Japanese,Vegetarian Friendly,Vegan Options,,,,,
Nyumyunhen Honten,"2-9-13 Sonezaki, Kitaku, Osaka 530-0057 Osaka Prefecture",263,3.399801254272461,$$ - $$$,85,"$3,000 - $5,000",,Bar,,,,,,,
Takoya Dotonbori Kukuru JR Shin-Osaka Station,"5-16-1 Nishinakajima, Yodogawa-ku, Osaka Osaka Prefecture",259,3.4018054008483887,$$ - $$$,100,,,Japanese,,,,,,,
Sendai Harumon Yakiniku Tokiwatei Ohatsutenjin,"2-8-12 Sonezaki Kita-ku Sun Plaza Sonezaki Ⅱ B1F, Osaka 530-0057 Osaka Prefecture",257,3.4030840396881104,,21,,,Asian,Korean,,,,,,
Pasticceria Delicius Mino Honten,"6-14-22 Onoharanishi, Mino 562-0032 Osaka Prefecture",1,3.402775287628174,$,56,"$800 - $1,000",,Cafe,,,,,,,
Halal Ramen Naniwaya,"2-7-22 Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",128,3.4016902446746826,$$ - $$$,49,"$999 - $2,999",浪速屋ハラールラーメン。当店では、手作りの麺、国産の食材、そしてNaniwaya特製のソースと出汁を使用したラーメンを提供しています。また、最も人気のあるメニューはハラール和牛です。ハラールの和牛焼肉丼や和牛焼肉のプレートが楽しめます。これらのメニューはNaniwaya大阪のオリジナルです。ハラールの和牛が売り切れる前にぜひお試しください。お見逃しなく!! 浪速屋はハラールレストランのため、アルコールや豚肉の販売は行っておりません。ご了承ください。 また、ムスリムのお客様のための礼拝室も完備していますので、どうぞご利用ください。 6名様以上のパーティーのご予約を承っております。全てハラール対応 & ムスリムのための礼拝室あり。,Japanese,Halal,,,,,,
Kasuya Hozenji,"1-5-20, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",20,3.3964526653289795,$,32,,,Japanese,,,,,,,
Kitahama Retro,"1-1-26 Kitahama Kitahama Retro Bldg., Chuo, Osaka 541-0041 Osaka Prefecture",127,3.401751518249512,$$ - $$$,69,"$1,000 - $3,000",,Cafe,British,,,,,,
Umeda Hanabisushi,"1 Chome1-3 Shibata, Kita-Ku B2F, Osaka 530-0012 Osaka Prefecture",255,3.404418706893921,$$ - $$$,27,,,Japanese,Sushi,Seafood,,,,,
Bonza,"4-8-6 Hommachi, Chuo, Osaka 541-0053 Osaka Prefecture",124,3.405817747116089,$$ - $$$,22,"$25 - $6,000","Good evening and welcome to Bonza. At the center of Osaka, we like to offer Japanese modern izakaya style which match Sake and also respect the tradition. We believe balance of combination of authentic and original modern dishes is important. We have 20 Sake list and English menu!",Japanese,Japanese Fusion,Seafood,,,,,
All-you-can-eat Domestic Beef Yakiniku Aburiya Dotonbori Midosuji,"2-5-9 Nishishinsaibashi Don Quijote Dotonbori Midosuji 10F, Chuo, Osaka 542-0086 Osaka Prefecture",123,3.406150579452514,$$ - $$$,34,"$3,980 - $4,380",The meat is selected by meat professionals and cut fresh in the restaurant. A la carte items and desserts are also available. All-you-can-eat table order system.,Barbecue,,,,,,,
Bistro New Orleans,"1-15-10 Kitahorie, Nishi-ku, Osaka 550-0014 Osaka Prefecture",252,3.406736135482788,$$ - $$$,35,,"Bistro New Orleans serves authentic Creole, Cajun, and Southern U.S. cuisine. Owner/Chef du cuisine C.C. Haydel is a native of New Orleans, LA, U.S.A., and promises a real taste of the celebratory/comfort foods of the city and the bayou. Gumbo, jambalaya, shrimp creole, red beans and rice and fried catfish are some of the terrific items available.",Cajun & Creole,,,,,,,
Kura Sushi Namba Motomachi,"1-8-23 Shikitsuhigashi, Naniwa-ku, Osaka 556-0012 Osaka Prefecture",223,3.430039167404175,$$ - $$$,100,"$1,000 - $1,300","With the concept of safe, delicious, affordable, and fun, the leading conveyor-belt sushi chain in Japan created the current conveyor-belt sushi restaurant's standard. A global restaurant brand that combines safety and experience-oriented entertainment, focusing on healthy sushi that is free of the four major additives"" - chemical seasonings, artificial sweeteners, artificial colorings, and artificial preservatives - in all of its more than 200 ingredients, as well as a wide variety of side dishes.",Sushi,Healthy,,,,,,
Sora Tsuruhashihonten,"1-10 Shimoajihara-Cho, Tennoji-Ku, Osaka 543-0025 Osaka Prefecture",244,3.416214942932129,$$ - $$$,105,,,Asian,Korean,,,,,,
Dotonbori Imai Rihga Royal Hotel,"5-3-68 Nakanoshima, Kita-Ku, Osaka Osaka Prefecture",247,3.4152958393096924,$$ - $$$,68,,,,,,,,,,
Unatoto,"2-7-17 Nishitemma, Kita-Ku Kotobuki Bldg, Osaka 530-0047 Osaka Prefecture",249,3.4126884937286377,$,47,"$800 - $1,000",,Japanese,,,,,,,
Mononopu Namba,"4-8-17 Nippombashi, Naniwa-Ku Kik Bldg. 2F, Osaka 556-0005 Osaka Prefecture",243,3.4167070388793945,$$ - $$$,27,"$5,000 - $20,000",,Cafe,Japanese,Bar,International,Asian,,,
Yakiniku Rikimaru Namba Minatomachi,"1-2-2 Motomachi Naniwa-Ku 2F Inoue Nanba Bldg., Osaka 556-0016 Osaka Prefecture",248,3.412953615188598,$$ - $$$,58,"$3,000 - $4,500","All you can eat for prime quality japanese beef . The courses are Over 80 varieties 2,980 Yen or Over 100 varieties 3,480(+TAX).Pay ￥1,000 extra per person with the above course and get unlimited refill drinks. All of our meats are handled by our professional chef everyday. You can also enjoy traditional charcoal BBQ in our restaurant which is rarely foubd in Japan.",Japanese,Pub,Steakhouse,Barbecue,Asian,Korean,,
M No Yakiniku Fukushima Honten,"6-3-7 Fukushima, Fukushima-Ku, Osaka 553-0003 Osaka Prefecture",245,3.4160618782043457,$$ - $$$,44,,,Japanese,Barbecue,Asian,,,,,
Chigusa,"4-11-18 Tenjimbashi, Kita-Ku, Osaka 530-0041 Osaka Prefecture",246,3.415851354598999,$$ - $$$,35,,,Japanese,,,,,,,
The Hearth Board Game Cafe and Bar,"14-25 Namba Sennichimae 4F Hannan Bldg., Chuo, Osaka 542-0075 Osaka Prefecture",93,3.475358486175537,$,22,"$400 - $1,550","A board game pub and cafe in the heart of Osaka, Japan. We offer delicious italian and pub food as well as coffees and teas served in a comfy atmosphere",Cafe,Pub,Australian,,,,,
Honmiyake,"Shibata, Kitaku, Osaka 530-0012 Osaka Prefecture",241,3.418807983398437,$$ - $$$,77,"$800 - $1,000",,Japanese,,,,,,,
Gourmet Boutique Melissa,"5-3-68 Nakanoshima, Kita-ku 1F Rihga Royal Hotel, Osaka 530-0005 Osaka Prefecture",242,3.416794538497925,$$ - $$$,61,,,Deli,,,,,,,
Asai,"1-6-19 Higashishinsaibashi 1F Royal Nakaya, Chuo, Osaka 542-0083 Osaka Prefecture",130,3.398670196533203,$$$$,67,,,Japanese,Asian,Kappo,,,,,
Hakata Motsu Hot Pot Motsuhiko Namba America-mura (American Village),"2-7-10 Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",139,3.383922576904297,$$ - $$$,28,,《難波》ミナミでもつ鍋ならここ！厳選した国産素材で頂く水炊き風もつ鍋 「難波駅」徒歩3分！ 多くの飲食店が並ぶミナミ・アメリカ村で人気のもつ鍋屋です！ たくさんの野菜が食べられる水炊き風のもつ鍋は、もつなのにあっさりヘルシー♪ スープまで飲み干したくなる旨味たっぷりのもつ鍋です！ 酢ダレと柚子胡椒で爽やかにどうぞ。 締めの胡麻そばは必ず食べるべき一品！黒胡麻と金胡麻の香ばしさが鼻に抜ける上品な逸品です。 【おすすめPOINT】 1.10種のもつ鍋から選べる！辛いのが好きな方には台湾もつ鍋も！ 2.もつ鍋1人前のカロリーはなんとたったの220kcal！ 3.博多名物焼き餃子もオススメ！一品料理も充実してます。 4.120分飲み放題付きのコースは4000円から！ 5.テーブル・掘りごたつ・個室など様々なお席あり！ 当日でも席が空いていればOK！宴会やお食事、ご家族でのご利用など様々なシーンで♪ 難波観光の後は、ぜひ当店のもつ鍋で疲れを癒やしてください！,Japanese,Asian,,,,,,
Mimiu Honten,"4-6-18 Hiranocho, Chuo, Osaka 541-0047 Osaka Prefecture",129,3.400665044784546,$$ - $$$,71,"$2,000 - $10,000","The now renowned ""udon-suki"" had its beginnings at this restaurant. Located in the center of Osaka but is nevertheless a quiet and relaxing two-story authentic Japanese style building. Serves udon-suki and soba together with seasonal Japanese cuisine. Serves only what it thinks is the best. All dishes are carefully prepared. Udon pasta is well prepared to maintain firmness.",Japanese,,,,,,,
PANAME Crepes de Paris,"1-10-41 Nishishinsaibashi Shinsaibashi ANDANTINO 1F, Osaka 542-0086 Osaka Prefecture",192,3.46076774597168,$,15,$5 - $20,"Welcome to Paname Crêpes de Paris, your slice of Parisian paradise nestled in the lively heart of Osaka! Our specialty is authentic, delectable Parisian crêpes, available in a myriad of sweet and savory flavors, crafted to perfection, and promising a culinary journey to the charming streets of Paris with every bite. The authenticity is accentuated by our meticulous Parisian décor and ambiance, enveloping guests in a genuinely French experience. Our offerings extend beyond crêpes, with a diverse beverage menu available anytime, featuring refreshing cocktails, fresh drinks, and regular soft drinks, along with a premium assortment of whiskies, scotches, and cognacs, including celebrated Japanese whiskies like AO, Hibiki, Yamazaki, and Hakushu. While we serve alcohol throughout our operating hours, the ambiance seamlessly transitions into a sophisticated bar vibe from 7 PM, maintaining our gourmet crêpe service and adding an extra layer of vibrancy to your evening. Whether you are in the mood for a tranquil, gourmet crêpe retreat, a refreshing beverage escape, or a lively evening of exquisite spirits and vibrant atmospheres, Paname Crêpes de Paris is your go-to destination for an immersive and unforgettable Parisian experience. Operating Hours: Tue-Sat: 12:00-23:00 (Crêpes until 22:30) Sun-Mon: 12:00-19:00",French,Bar,Cafe,Fusion,Diner,,,
Teppanyaki MYDO,"4-1-3 Minamisenba Osaka Prefecture, Chuo, Osaka 542-0081 Osaka Prefecture",142,3.3776156902313232,$$$$,13,,"Located on the ﬁrst ﬂoor along Midosuji blvd, offers an unprecedented teppanyaki experience curated with the theme of ""the timeless magic of Osaka's history"" with its spin on Osaka soul food, including branded Japanese Wagyu beef and extravagant teppanyaki dishes served at the counter divided by three separate dining areas FUN, LUXE and KAPPO.",Japanese,,,,,,,
Table36,"5-1-60 36F Swissotel Nankai Osaka, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",23,3.3789069652557373,$$$$,153,"$2,000 - $9,800","The Modern European all-day dining restaurant in Osaka provides a “Dining in the Clouds” experience, poised 147 metres above at the topmost floor of the Swissôtel Nankai Osaka. Bringing together the community’s gourmands and culture seekers, local producers and artisans, the season’s finest produce are brought to life in the menus, sourced from The Sky Farm housed inside the restaurant, and partners to include the Senshu Agri Farm in Izumisano City, Osaka. Be immersed in table-side interaction from the chefs, with an international breakfast buffet, an ever-changing themed weekday lunch and weekend brunch. At night, delight in sunset views while enjoying a course dinner menu or the restaurant's popular Saturday Swiss Buffet Night.",Italian,Swiss,International,European,Dining bars,Vegetarian Friendly,,
Warajiya,"1-3-149 Shinsenrihigashimachi Senchupal B1F, Toyonaka Osaka Prefecture",5,3.3820841312408447,$$ - $$$,91,,,Japanese,,,,,,,
551 Horai JR Shin Osaka Station,"5-16-1 Nishinakajima, Yodogawa-Ku Shin Osaka Entree Marche 3F, Osaka 532-0011 Osaka Prefecture",298,3.3786768913269043,$$ - $$$,78,"$800 - $1,000",,Japanese,Chinese,,,,,,
Garb Weeks,"1-1-29 Nakanoshima Kitaku Nakanoshima Park, Osaka 530-0005 Osaka Prefecture",295,3.381997585296631,$$ - $$$,80,"$1,000 - $4,999",,Italian,Pizza,European,Dining bars,Vegetarian Friendly,,,
